n	w_1      	q        	time     	gamma_1  	checksum 	prop     
3	1	4	0.0000613	0.6666667	?	567.1851852
4	1	6	0.0000715	0.5000000	?	186.2734375
5	1	8	0.0001396	0.4871795	?	139.6330000
6	1	11	0.0002682	0.4066667	?	112.8926768
7	1	15	0.0006091	0.3388889	?	118.3939747
8	1	19	0.0009131	0.3138258	?	93.8666735
9	1	23	0.0014991	0.2906250	?	89.4054989
10	1	28	0.0024327	0.2676471	?	86.8836429
11	1	34	0.0031024	0.2468193	?	68.5546913
12	1	40	0.0010516	0.2315965	?	15.2144965
13	1	46	0.0014835	0.2183749	?	14.6787319
14	1	53	0.0018236	0.2063928	?	12.5392280
15	1	61	0.0038196	0.1954728	?	18.5528355
16	1	69	0.0052323	0.1860985	?	18.5131482
17	1	77	0.0068847	0.1780318	?	18.1988734
18	1	86	0.0086824	0.1704405	?	17.3110365
19	1	96	0.0109618	0.1634166	?	16.6475267
20	1	106	0.0135737	0.1571786	?	16.0067700
21	1	116	0.0154422	0.1516039	?	14.3745574
22	1	127	0.0079473	0.1463377	?	5.8769027
23	1	139	0.0064490	0.1413591	?	3.8132459
24	1	151	0.0107282	0.1368602	?	5.1394384
25	1	163	0.0122554	0.1327678	?	4.8119374
26	1	176	0.0115747	0.1288584	?	3.7417818
27	1	190	0.0494660	0.1251259	?	13.2270185
28	1	204	0.0187782	0.1217056	?	4.1932456
29	1	218	0.0329573	0.1185578	?	6.1987074
30	1	233	0.0242369	0.1155267	?	3.8526255
31	1	249	0.0313426	0.1126100	?	4.2252288
32	1	265	0.0169257	0.1099107	?	1.9491756
33	1	281	0.0305306	0.1074040	?	3.0233460
34	1	298	0.0275318	0.1049760	?	2.3506121
35	1	316	0.0411211	0.1026258	?	3.0351035
36	1	334	0.0453599	0.1004340	?	2.9108415
37	1	352	0.0380537	0.0983842	?	2.1342702
38	1	371	0.0523241	0.0963897	?	2.5702609
39	1	391	0.0411108	0.0944504	?	1.7724976
40	1	411	0.0647192	0.0926305	?	2.4604302
41	1	431	0.0525098	0.0909188	?	1.7677117
42	1	452	0.0594009	0.0892474	?	1.7738087
43	1	474	0.0762433	0.0876163	?	2.0231026
44	1	496	0.1031549	0.0860779	?	2.4414626
45	1	518	0.0988426	0.0846241	?	2.0940009
46	1	541	0.1308658	0.0832004	?	2.4851668
47	1	565	0.1031351	0.0818071	?	1.7581845
48	1	589	0.1529934	0.0804873	?	2.3487327
49	1	613	0.1447797	0.0792351	?	2.0075161
50	1	638	0.1843546	0.0780059	?	2.3116562
51	1	664	0.1580556	0.0768002	?	1.7944492
52	1	690	0.1658747	0.0756539	?	1.7097039
53	1	716	0.1761113	0.0745625	?	1.6521387
54	1	743	0.1923377	0.0734891	?	1.6439713
55	1	771	0.2120857	0.0724342	?	1.6533659
56	1	799	0.2310059	0.0714280	?	1.6463119
57	1	827	0.2547017	0.0704672	?	1.6630364
58	1	856	0.2739079	0.0695208	?	1.6400115
59	1	886	0.3067454	0.0685890	?	1.6857311
60	1	916	0.3516298	0.0676979	?	1.7772004
61	1	946	0.3592704	0.0668447	?	1.6731728
62	1	977	0.3856653	0.0660031	?	1.6563074
63	1	1009	0.4169748	0.0651734	?	1.6527112
64	1	1041	0.4520117	0.0643780	?	1.6563765
65	1	1073	0.4849082	0.0636147	?	1.6455827
66	1	1106	0.5209633	0.0628608	?	1.6384009
67	1	1140	0.5615837	0.0621167	?	1.6378918
68	1	1174	0.6089780	0.0614017	?	1.6497068
69	1	1208	0.6541222	0.0607142	?	1.6483320
70	1	1243	0.6979352	0.0600345	?	1.6370044
71	1	1279	0.7525288	0.0593629	?	1.6439081
72	1	1315	0.8044618	0.0587164	?	1.6390122
73	1	1351	0.8603939	0.0580936	?	1.6370932
74	1	1388	0.9247045	0.0574772	?	1.6440625
75	1	1426	0.9880627	0.0568677	?	1.6424085
76	1	1464	1.0581290	0.0562799	?	1.6464811
77	1	1502	1.1282984	0.0557126	?	1.6454393
78	1	1541	1.1999475	0.0551509	?	1.6408761
79	1	1581	1.2772820	0.0545949	?	1.6386026
80	1	1621	1.3668936	0.0540578	?	1.6469550
81	1	1661	1.4521746	0.0535388	?	1.6451070
82	1	1702	1.5447272	0.0530244	?	1.6460790
83	1	1744	1.6531543	0.0525150	?	1.6578019
84	1	1786	1.7402498	0.0520222	?	1.6439639
85	1	1828	1.8404967	0.0515452	?	1.6394648
86	1	1871	1.9612101	0.0510722	?	1.6479915
87	1	1915	2.0878435	0.0506035	?	1.6556610
88	1	1959	2.2067793	0.0501495	?	1.6530137
89	1	2003	2.3329558	0.0497095	?	1.6521731
90	1	2048	2.4710103	0.0492730	?	1.6550727
91	1	2094	2.6235045	0.0488401	?	1.6625739
92	1	2140	2.7750300	0.0484203	?	1.6652921
93	1	2186	2.9338506	0.0480130	?	1.6685491
94	1	2233	3.0873995	0.0476087	?	1.6646408
95	1	2281	3.2718895	0.0472075	?	1.6730254
96	1	2329	3.4880908	0.0468181	?	1.6927959
97	1	2377	3.6655406	0.0464398	?	1.6896379
98	1	2426	3.8665622	0.0460642	?	1.6933860
99	1	2476	4.0547687	0.0456913	?	1.6877568
100	1	2526	4.3132184	0.0453290	?	1.7075290
101	1	2576	4.5024540	0.0449766	?	1.6964431
102	1	2627	4.7311154	0.0446266	?	1.6970825
103	1	2679	4.9768334	0.0442790	?	1.7000775
104	1	2731	5.2391978	0.0439409	?	1.7054660
105	1	2783	5.5067378	0.0436118	?	1.7092803
106	1	2836	5.7854393	0.0432848	?	1.7128231
107	1	2890	6.0874630	0.0429598	?	1.7194405
108	1	2944	6.3706530	0.0426435	?	1.7178090
109	1	2998	6.6918172	0.0423354	?	1.7235859
110	1	3053	7.0166126	0.0420291	?	1.7267229
111	1	3109	7.3788552	0.0417246	?	1.7353990
112	1	3165	7.6913248	0.0414280	?	1.7297103
113	1	3221	8.0289661	0.0411388	?	1.7275617
114	1	3278	8.4770575	0.0408512	?	1.7455071
115	1	3336	8.7994502	0.0405653	?	1.7343469
116	1	3394	9.2720193	0.0402865	?	1.7502034
117	1	3452	9.7290925	0.0400145	?	1.7597216
118	1	3511	10.0943644	0.0397439	?	1.7498553
119	1	3571	10.6568148	0.0394748	?	1.7709108
120	1	3631	11.0277319	0.0392122	?	1.7575845
121	1	3691	11.5201924	0.0389558	?	1.7618121
122	1	3752	12.1748036	0.0387008	?	1.7869798
123	1	3814	12.5127143	0.0384470	?	1.7630130
124	1	3876	13.1280306	0.0381992	?	1.7764409
125	1	3938	13.5160753	0.0379571	?	1.7572957
126	1	4001	14.1537844	0.0377162	?	1.7684484
127	1	4065	14.9290647	0.0374765	?	1.7929199
128	1	4129	15.3519212	0.0372422	?	1.7729151
129	1	4193	15.8934422	0.0370132	?	1.7657287
130	1	4258	16.5290179	0.0367852	?	1.7668974
